,T1,T1,T1,T1,T1,T2,T2,T2,T2,T2,T3,T3,T3,T3,T3,T4,T4,T4,T4,T4,T5,T5,T5,T5,T5
Days,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std
7,0.553157027,0.12116773,0.173849351,0.282724703,0.235677894,0.568961514,0.568961514,0.273944432,0.470622486,0.170328191,0.729640459,0.489939081,0.676958838,0.632179459,0.125968576,0.748079027,0.505743568,0.679592919,0.644471838,0.124926925,0.368771351,0.239701378,0.568961514,0.392478081,0.165905292
14,2.223164432,2.188921378,1.770102486,2.060729432,0.252272002,2.02297427,1.393428892,1.156361595,1.524254919,0.447873832,1.835954514,1.411867459,1.609423541,1.619081838,0.212208434,1.124752622,1.991365297,0.31608973,1.144069216,0.837804813,0.60847273,1.854393081,0.429355216,0.964073676,0.77622307
21,0.560645217,0.357248348,1.838394783,0.918762783,0.802891545,1.658466783,0.265980522,1.457677565,1.127374957,0.752714658,1.773203478,1.979208,1.050883826,1.601098435,0.487505438,1.551553043,1.564591304,1.786241739,1.634128696,0.131894968,0.412009043,0.033899478,0.633659478,0.359856,0.303262212
28,0.347103628,0.362645581,0.453306977,0.387685395,0.057358801,0.49216186,0.505113488,0.86775907,0.62167814,0.213210704,1.062033488,1.725156837,1.261488558,1.349559628,0.340221294,1.574917953,1.243356279,1.196730419,1.338334884,0.206209007,1.121610977,0.909204279,0.730471814,0.920429023,0.195811025
35,1.055335273,0.564420606,0.777062788,0.798939556,0.246187423,1.008081455,1.199721939,0.225768242,0.811190545,0.515966058,0.501415515,1.845524121,1.785144242,1.377361293,0.759191798,0.952952,1.617130667,1.530498667,1.366860444,0.361062912,0.813815758,0.22314303,0.546044121,0.527667636,0.295764837
42,0.854558702,0.836486464,0.635110093,0.775385086,0.121817309,1.239239205,0.567984636,1.037862834,0.948362225,0.344461092,0.85714045,1.048189828,1.303782914,1.069704397,0.224097144,0.913938914,1.12306053,1.494832291,1.177277245,0.294217382,0.792596742,0.864885695,0.728053033,0.79517849,0.068452856
49,0.378415349,0.497781264,0.495241564,0.457146059,0.068194619,0.360637446,0.276827336,0.256509733,0.297991505,0.055195894,0.408891752,0.419050554,0.317462541,0.381801616,0.055950315,0.088889511,0.340319844,0.566353173,0.331854176,0.238844379,0.043174906,0.680639687,0.360637446,0.361484013,0.318733234
56,0.242853639,0.089472393,0.173832079,0.16871937,0.076818334,0.754124459,0.383453115,0.52405259,0.553876721,0.18712675,0.429467489,0.51127082,0.881942164,0.607560157,0.24111628,0.83592779,0.564954256,0.189170203,0.530017416,0.324791135,0.32465697,0.209621036,0.260748118,0.265008708,0.057636195
60,0.03650713,0.088660174,0.122559652,0.082575652,0.043347724,0.057368348,0.039114783,0.044330087,0.046937739,0.009402024,0.169497391,0.057368348,0.070406609,0.099090783,0.061321423,0.302487652,0.135597913,0.044330087,0.160805217,0.130911758,0.093875478,0.312918261,0.09648313,0.167758957,0.125718406
63,0.577736026,0.286311659,0.339995095,0.401347593,0.155097186,0.352776866,0.659539357,0.357889574,0.456735266,0.175652098,0.493376341,0.360445928,1.405994754,0.753272341,0.569168284,0.777131646,1.285846111,0.36811499,0.810364249,0.459767232,0.641644879,0.608412275,0.347664157,0.53257377,0.160996196
70,0.145712184,0.235184577,0.076690623,0.152529128,0.079466574,0.828258728,0.728560918,0.401347593,0.652722413,0.223331342,0.409016656,0.754124459,0.191726557,0.451622557,0.283609409,0.554728839,0.327213325,0.67999019,0.520644118,0.178841285,0.304206138,0.132930413,0.444805613,0.293980721,0.156188842
77,0.444805613,0.426911134,0.621194046,0.497636931,0.107377016,0.562397902,1.002090807,0.718335502,0.760941403,0.222921309,0.534278007,0.447361967,1.10434497,0.695328315,0.356874723,0.9356256,0.544503423,0.534278007,0.67146901,0.228823443,0.700441023,0.230071869,0.342551449,0.42435478,0.245622931
