,T1,T1,T1,T1,T1,T2,T2,T2,T2,T2,T3,T3,T3,T3,T3,T4,T4,T4,T4,T4,T5,T5,T5,T5,T5
Days,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std,R1,R2,R3,Mean,Std
7,0.292383,0.371405432,0.258139946,0.307309459,0.058089302,0.408282568,0.323991973,0.326626054,0.352966865,0.047922905,0.497841324,0.871880838,0.192287919,0.520670027,0.340371115,0.574229676,0.845540027,0.447793784,0.622521162,0.203222955,0.289748919,0.318723811,0.342430541,0.316967757,0.026384676
14,0.845540027,0.808662892,0.850808189,0.835003703,0.022963386,1.158995676,0.521548054,1.111582216,0.930708649,0.355135612,0.289748919,1.169532,0.065852027,0.508377649,0.583417742,2.223164432,1.480353568,0.624277216,1.442598405,0.800111975,0.700665568,0.877149,0.468866432,0.682227,0.204764864
21,1.272534261,1.509830609,2.226934957,1.669766609,0.496895175,1.645428522,1.142151652,0.200789217,0.99612313,0.733306844,0.691027826,0.727534957,2.297341565,1.238634783,0.917048653,2.67545113,1.387270957,0.964831304,1.67585113,0.891074596,1.290787826,0.917893565,1.76277287,1.323818087,0.423407024
28,0.764146047,0.911794605,1.279620837,0.985187163,0.265458878,2.520386791,1.748469767,1.31329507,1.860717209,0.611324154,0.038854884,0.13469693,0.391139163,0.188230326,0.182141213,0.271984186,2.002321674,1.950515163,1.408273674,0.984396429,0.531016744,1.802866605,0.036264558,0.790049302,0.911341921
35,0.183764848,1.018582303,0.477788606,0.560045253,0.423443813,2.003036848,0.658928242,0.824316606,1.162093899,0.732957783,1.333607758,0.763936727,2.173675636,1.42374004,0.70917827,0.606424,1.000205818,1.808771152,1.13846699,0.612981877,0.385906182,0.238894303,0.091882424,0.238894303,0.147011879
42,1.363163126,1.533558517,1.91823902,1.604986887,0.284348063,2.055071682,1.611010967,1.969873987,1.878652212,0.23566616,2.039581192,1.923402517,0.728053033,1.563678914,0.726000916,2.150596371,2.070562172,0.849395205,1.690184583,0.729243753,1.128224026,1.182440742,1.079170808,1.129945192,0.051656477
49,0.54603557,0.46730486,0.436828456,0.483389629,0.056352358,0.043174906,0.500320964,0.662861785,0.402119218,0.321303041,0.619686879,1.234294358,0.906673016,0.920218085,0.307527543,0.200636326,0.411431453,0.563813472,0.391960417,0.182369819,0.177779023,0.500320964,0.441907857,0.373335948,0.171857226
56,0.416685718,0.577736026,0.539390715,0.51127082,0.084126968,1.372762151,0.232628223,0.52405259,0.709814321,0.592331756,0.805251541,2.310944105,1.418776525,1.51165739,0.757131208,0.493376341,0.603299567,1.083894138,0.726856682,0.314050295,0.360445928,0.209621036,0.651870295,0.40731242,0.224818711
60,0.03650713,0.29988,0.104306087,0.146897739,0.136754721,0.208612174,0.146028522,0.088660174,0.147766957,0.059994893,0.08344487,0.065191304,0.127774957,0.092137043,0.032184527,0.208612174,0.15645913,0.03650713,0.133859478,0.088250182,0.127774957,0.031291826,0.644090087,0.267718957,0.329497602
63,0.332326033,0.038345311,0.452474675,0.274382007,0.213058478,1.050661534,0.58029238,0.539390715,0.72344821,0.284112049,0.51127082,1.127352157,0.685102898,0.774575292,0.317636641,0.309318846,1.567045062,1.193817364,1.023393757,0.645950434,0.731117272,0.807807895,0.559841548,0.699588905,0.126954149
70,0.102254164,0.347664157,0.314431554,0.254783292,0.133135092,0.828258728,0.621194046,0.327213325,0.592222033,0.251776006,0.339995095,0.120148643,0.316987908,0.259043882,0.120835625,0.334882387,0.656983003,0.173832079,0.388565823,0.246008409,0.697884669,0.56751061,0.36811499,0.544503423,0.166084341
77,0.769462584,0.669764774,0.498489049,0.645905469,0.137053325,1.181035593,0.342551449,0.777131646,0.76690623,0.419335587,0.777131646,0.782244354,1.112014033,0.890463344,0.191885553,0.751568105,0.490819987,0.902392997,0.71492703,0.208218664,0.260748118,0.442249259,0.83592779,0.512975056,0.294039993
